date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:32	25/25	---M--	200	added ('OK')	text/plain	etag:%2263c86491-19%22	https://conference.awwwards.com/robots.txt		(from )
14:01:33	92557/92557	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:04%20GMT	https://conference.awwwards.com/?utm_source=banner_lists	conference.awwwards.com/index9e0f.html	(from )
14:01:34	92557/92557	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2013:39:05%20GMT	https://conference.awwwards.com/homepage	conference.awwwards.com/homepage.html	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:34	120090/120090	---M--	200	added ('OK')	image/jpeg	etag:%2263c90f40-1d51a%22	https://conference.awwwards.com/uploads/options/config/digital-thinkers-conf.jpg	conference.awwwards.com/uploads/options/config/digital-thinkers-conf.jpg	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:35	2747/2747	---M--	200	added ('OK')	image/png	etag:%2263c86491-abb%22	https://conference.awwwards.com/assets/images/favicons/apple-touch-icon.png	conference.awwwards.com/assets/images/favicons/apple-touch-icon.png	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:36	1468/1468	---M--	200	added ('OK')	image/png	etag:%2263c86491-5bc%22	https://conference.awwwards.com/assets/images/favicons/favicon-32x32.png	conference.awwwards.com/assets/images/favicons/favicon-32x32.png	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:37	940/940	---M--	200	added ('OK')	image/png	etag:%2263c86491-3ac%22	https://conference.awwwards.com/assets/images/favicons/favicon-16x16.png	conference.awwwards.com/assets/images/favicons/favicon-16x16.png	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:39	424/424	---MCZ	200	added ('OK')	application/octet-stream	etag:W/%2263c86491-1a8%22	https://conference.awwwards.com/assets/images/favicons/site.webmanifest	conference.awwwards.com/assets/images/favicons/site.webmanifest	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:39	16354/16354	---M--	200	added ('OK')	image/svg+xml	etag:%2263c86491-3fe2%22	https://conference.awwwards.com/assets/images/favicons/safari-pinned-tab.svg	conference.awwwards.com/assets/images/favicons/safari-pinned-tab.svg	(from https://conference.awwwards.com/?utm_source=banner_lists)
14:01:41	268/268	---MCZ	200	added ('OK')	text/xml	etag:W/%2263c86491-10c%22	https://conference.awwwards.com/assets/images/favicons/browserconfig.xml	conference.awwwards.com/assets/images/favicons/browserconfig.xml	(from https://conference.awwwards.com/?utm_source=banner_lists)
